"id";"pieza_ordenador";"precio";"pais_origen"
" JIT41   ";"Procesador, Intel";"99,40 £";"Estados Unidos"
"   057UB ";"Procesador, Intel";"10,36 €";"Estados Unidos"
" C56C8 ";"Procesador, Intel";"96,98 £";"Tailandia"
" V0I2Z ";"Procesador, Intel";"925,68 TL";"Tailandia"
" WPFW4 ";"Procesador, Intel";"593,20 €";"Tailandia"
"  MVPXA ";"Memoria RAM, Kingston";"137,89 €";"Corea del Sur"
"   IFFIZ  ";"Disco duro, Seagate";"136,52 TL";"China"
" U9WR1 ";"Placa base, ASUS";"99,70 £";"China"
"   C097C   ";"Tarjeta gráfica, NVIDIA";"76,71 €";"Tailandia"
" PUJW8  ";"Tarjeta gráfica, NVIDIA";"r385,28 €";"Corea del Sur"
"  XAX4Q ";"Procesador, Intel";"746,59 TL";"China"
"  KTVIF ";"Tarjeta gráfica, NVIDIA";"771,67 €";"Tailandia"
" 95JEX ";"Memoria RAM, Kingston";"854,40 £";"Tailandia"
"   SROLX ";"Procesador, Intel";"738,76 TL";"China"
" DHHA1  ";"Tarjeta gráfica, NVIDIA";"857,78 TL";"Corea del Sur"
"   YP4TB ";"Disco duro, Seagate";"vw516,15 €";"Estados Unidos"
" XOPHC ";"Procesador, Intel";"I494,12 TL";"Tailandia"
"   760KM   ";"Tarjeta gráfica, NVIDIA";"287,92 £";"China"
"   VWIKF ";"Memoria RAM, Kingston";"875,76 TL";"Corea del Sur"
"   VWBG9  ";"Tarjeta gráfica, NVIDIA";"510,18 TL";"Corea del Sur"
" 8KS1T  ";"Memoria RAM, Kingston";"588,34 £";"Corea del Sur"
" 93W6U   ";"Disco duro, Seagate";"295,67 €";"Taiwán"
"  U4A4P  ";"Memoria RAM, Kingston";"493,40 £";"Tailandia"
"  GHRPR ";"Disco duro, Seagate";"862,46 £";"Tailandia"
" QIVNN   ";"Memoria RAM, Kingston";"245,54 £";"China"
"  W7EZE   ";"Procesador, Intel";"958,40 TL";"Corea del Sur"
"  E4M5T   ";"Disco duro, Seagate";"811,25 €";"Tailandia"
" KGEV1 ";"Disco duro, Seagate";"653,84 TL";"Estados Unidos"
"  YI7UT  ";"Tarjeta gráfica, NVIDIA";"199,54 £";"China"
"   5VCQH ";"Placa base, ASUS";"447,88 TL";"Tailandia"
" H6U1O   ";"Disco duro, Seagate";"352,97 TL";"China"
"  PKZM5 ";"Memoria RAM, Kingston";"533,82 €";"Taiwán"
"   BINOU   ";"Memoria RAM, Kingston";"605,34 TL";"Tailandia"
" MVELB   ";"Placa base, ASUS";"957,30 €";"Corea del Sur"
"   C6JSC   ";"Memoria RAM, Kingston";"699,46 €";"China"
"   BL2XM  ";"Tarjeta gráfica, NVIDIA";"456,83 €";"Taiwán"
" JHLDF  ";"Disco duro, Seagate";"Q814,33 £";"Corea del Sur"
"  MCR6A ";"Placa base, ASUS";"118,80 TL";"China"
"   IFMRW  ";"Disco duro, Seagate";"287,43 TL";"China"
"   RNUKQ  ";"Tarjeta gráfica, NVIDIA";"676,96 £";"China"
"   8E9ON   ";"Tarjeta gráfica, NVIDIA";"109,28 TL";"China"
"   NB4MB   ";"Placa base, ASUS";"478,22 TL";"China"
"   E2S61  ";"Disco duro, Seagate";"134,89 £";"Corea del Sur"
" CERE3 ";"Tarjeta gráfica, NVIDIA";"698,10 €";"China"
" SSICX ";"Tarjeta gráfica, NVIDIA";"165,90 €";"Taiwán"
"   BYWIW  ";"Tarjeta gráfica, NVIDIA";"484,48 €";"Tailandia"
"  2RUWN   ";"Disco duro, Seagate";"779,34 £";"China"
"  RJYYX  ";"Memoria RAM, Kingston";"587,13 €";"Taiwán"
"  3T0GA   ";"Memoria RAM, Kingston";"964,94 TL";"Tailandia"
" 5YMRB   ";"Memoria RAM, Kingston";"207,85 TL";"Corea del Sur"
"  2LYEC ";"Placa base, ASUS";"548,96 TL";"Tailandia"
" 6UF8K ";"Tarjeta gráfica, NVIDIA";"488,95 €";"China"
" 4TSD6 ";"Procesador, Intel";"99,77 €";"Taiwán"
"   LHCJX  ";"Placa base, ASUS";"393,25 £";"Estados Unidos"
"  AUYTR  ";"Procesador, Intel";"536,12 TL";"Corea del Sur"
"  8R9B2 ";"Memoria RAM, Kingston";"561,84 £";"Taiwán"
"  Y9J7T  ";"Procesador, Intel";"658,39 TL";"China"
" BAULK   ";"Procesador, Intel";"50,71 £";"Taiwán"
"  00IK1 ";"Placa base, ASUS";"21,44 £";"Taiwán"
"   7K3UC   ";"Tarjeta gráfica, NVIDIA";"249,74 €";"Estados Unidos"
"   3OGHP ";"Memoria RAM, Kingston";"513,45 TL";"Taiwán"
"  EYN0H  ";"Tarjeta gráfica, NVIDIA";"989,55 £";"Taiwán"
" 8QH96   ";"Tarjeta gráfica, NVIDIA";"996,38 TL";"Taiwán"
"   K2UQF  ";"Memoria RAM, Kingston";"110,41 £";"Estados Unidos"
"  ON6C1   ";"Memoria RAM, Kingston";"57,63 £";"Estados Unidos"
"   YOH1G   ";"Procesador, Intel";"23,83 €";"Tailandia"
"  1V8D8  ";"Memoria RAM, Kingston";"271,42 £";"China"
" 4A4GA   ";"Disco duro, Seagate";"l372,37 £";"China"
"   DY9UX ";"Placa base, ASUS";"841,87 TL";"Tailandia"
"  05OBD  ";"Disco duro, Seagate";"94,45 €";"Estados Unidos"
" 3UA4U ";"Placa base, ASUS";"513,85 £";"Taiwán"
"   IWF0M  ";"Tarjeta gráfica, NVIDIA";"445,72 €";"China"
" 7MBK4  ";"Placa base, ASUS";"838,48 €";"Tailandia"
" WDXZI   ";"Procesador, Intel";"x283,13 TL";"China"
"   QKHIX   ";"Tarjeta gráfica, NVIDIA";"N581,87 €";"Estados Unidos"
"   NN6UC ";"Disco duro, Seagate";"625,79 £";"Tailandia"
" ACAL8 ";"Disco duro, Seagate";"136,29 €";"Tailandia"
"   9EPSX  ";"Memoria RAM, Kingston";"c318,81 TL";"China"
"  82UD0 ";"Tarjeta gráfica, NVIDIA";"490,21 €";"Corea del Sur"
"   RE661  ";"Memoria RAM, Kingston";"839,47 TL";"Tailandia"
"  WFQ8R ";"Tarjeta gráfica, NVIDIA";"172,76 €";"China"
" 3CUSC ";"Procesador, Intel";"133,97 €";"Corea del Sur"
" 2TXKN   ";"Memoria RAM, Kingston";"541,82 TL";"China"
"  LX2LS   ";"Memoria RAM, Kingston";"X380,83 £";"Taiwán"
"   2UKC6 ";"Placa base, ASUS";"387,65 £";"Tailandia"
"   N0W63 ";"Disco duro, Seagate";"642,25 TL";"Estados Unidos"
" UDS4S   ";"Tarjeta gráfica, NVIDIA";"675,44 £";"China"
" BC1PO   ";"Tarjeta gráfica, NVIDIA";"662,93 £";"Tailandia"
" JGFE9 ";"Placa base, ASUS";"160,88 £";"Taiwán"
"  HZLCR  ";"Memoria RAM, Kingston";"997,27 €";"Corea del Sur"
"  CM5AT  ";"Placa base, ASUS";"238,33 TL";"Tailandia"
"  UNL47 ";"Procesador, Intel";"436,65 TL";"Tailandia"
"   X380I  ";"Procesador, Intel";"152,77 £";"Tailandia"
"  BYXLM ";"Procesador, Intel";"405,87 €";"Tailandia"
"  8H8B1   ";"Memoria RAM, Kingston";"523,78 €";"Estados Unidos"
" OIYFL  ";"Tarjeta gráfica, NVIDIA";"973,26 TL";"Estados Unidos"
"  OZ241 ";"Memoria RAM, Kingston";"970,84 £";"Corea del Sur"
" QES67   ";"Disco duro, Seagate";"69,96 TL";"Taiwán"
"   HYUEH   ";"Memoria RAM, Kingston";"805,75 TL";"China"
" CADF4 ";"Memoria RAM, Kingston";"539,82 £";"Estados Unidos"
"   7JPDD   ";"Procesador, Intel";"698,61 TL";"Taiwán"
"   5B4UA  ";"Placa base, ASUS";"551,60 £";"China"
" P74O3   ";"Disco duro, Seagate";"493,99 £";"China"
" 3P2UY  ";"Disco duro, Seagate";"E403,40 TL";"Tailandia"
"   H7973 ";"Procesador, Intel";"532,45 TL";"Tailandia"
"  TKL9Z ";"Placa base, ASUS";"641,62 €";"Corea del Sur"
"   JQGHJ   ";"Procesador, Intel";"452,16 £";"Tailandia"
" KK91N  ";"Tarjeta gráfica, NVIDIA";"27,41 €";"Estados Unidos"
"   3YG61   ";"Disco duro, Seagate";"751,22 TL";"Estados Unidos"
" N000U  ";"Disco duro, Seagate";"245,19 TL";"China"
"  KUX8T ";"Memoria RAM, Kingston";"k419,96 £";"China"
" 2QPSA   ";"Procesador, Intel";"28,73 TL";"China"
"   BGE24 ";"Placa base, ASUS";"118,84 €";"Tailandia"
"   WSIS6 ";"Tarjeta gráfica, NVIDIA";"s961,24 €";"China"
" L1BKU ";"Memoria RAM, Kingston";"V902,35 €";"Tailandia"
" ME2VL   ";"Procesador, Intel";"218,33 TL";"China"
"  CSXJR  ";"Procesador, Intel";"322,73 £";"China"
"  16EM7 ";"Tarjeta gráfica, NVIDIA";"GK606,26 €";"Estados Unidos"
" IJ7I7 ";"Memoria RAM, Kingston";"505,27 TL";"Estados Unidos"
"  JWCQY  ";"Memoria RAM, Kingston";"681,42 TL";"Taiwán"
"   4WBG6 ";"Memoria RAM, Kingston";"55,38 £";"Estados Unidos"
"  0AAM3 ";"Tarjeta gráfica, NVIDIA";"214,35 €";"China"
" ISGVM  ";"Placa base, ASUS";"874,25 £";"Taiwán"
"  XIYDR   ";"Procesador, Intel";"759,35 €";"Corea del Sur"
"  5ATJV   ";"Disco duro, Seagate";"843,54 £";"Tailandia"
" U913A ";"Placa base, ASUS";"397,25 €";"Taiwán"
"   84KXC  ";"Tarjeta gráfica, NVIDIA";"793,61 TL";"Corea del Sur"
" IJ70W   ";"Tarjeta gráfica, NVIDIA";"551,93 €";"Taiwán"
"   CXA9H  ";"Disco duro, Seagate";"43,35 TL";"Tailandia"
"   BQFE2   ";"Placa base, ASUS";"105,79 €";"Tailandia"
"   ZZBMF ";"Placa base, ASUS";"131,22 TL";"Estados Unidos"
" OPLOJ   ";"Memoria RAM, Kingston";"194,84 €";"Tailandia"
" 3O99N   ";"Tarjeta gráfica, NVIDIA";"289,74 £";"Taiwán"
" HP4QX ";"Memoria RAM, Kingston";"22,18 £";"Tailandia"
" 92DTY ";"Tarjeta gráfica, NVIDIA";"703,16 TL";"China"
"  9PJ0Q  ";"Tarjeta gráfica, NVIDIA";"224,41 £";"Estados Unidos"
" 945UW ";"Placa base, ASUS";"697,91 £";"Tailandia"
" QRQSP   ";"Tarjeta gráfica, NVIDIA";"X576,55 TL";"Estados Unidos"
" IFHW5  ";"Placa base, ASUS";"522,71 TL";"Estados Unidos"
" PH185  ";"Memoria RAM, Kingston";"J467,81 TL";"Taiwán"
"  F0MI7 ";"Tarjeta gráfica, NVIDIA";"90,11 TL";"China"
" L9200 ";"Procesador, Intel";"288,89 TL";"Corea del Sur"
"  VW4XM  ";"Placa base, ASUS";"27,93 €";"China"
"   U9CYD   ";"Placa base, ASUS";"30,69 €";"Tailandia"
"  LD1X4   ";"Tarjeta gráfica, NVIDIA";"256,18 TL";"Taiwán"
"  HCFAH  ";"Memoria RAM, Kingston";"61,45 £";"Corea del Sur"
"   MCZ5C  ";"Tarjeta gráfica, NVIDIA";"186,93 £";"Estados Unidos"
"   S82Y4 ";"Placa base, ASUS";"186,92 €";"Estados Unidos"
"   2Q3M1 ";"Tarjeta gráfica, NVIDIA";"408,38 TL";"Estados Unidos"
"  ARMAL ";"Placa base, ASUS";"625,22 €";"Corea del Sur"
"  P7TR5   ";"Placa base, ASUS";"17,87 £";"Tailandia"
" IA9HG   ";"Procesador, Intel";"882,39 TL";"China"
"   0JEKO   ";"Placa base, ASUS";"292,49 TL";"Corea del Sur"
" K34CD  ";"Tarjeta gráfica, NVIDIA";"911,47 TL";"Tailandia"
" O79TQ   ";"Tarjeta gráfica, NVIDIA";"1000,17 TL";"Tailandia"
" QIIY0   ";"Disco duro, Seagate";"475,83 €";"Tailandia"
"  NBYJQ   ";"Procesador, Intel";"129,20 €";"Estados Unidos"
"   6TXB1  ";"Tarjeta gráfica, NVIDIA";"579,18 TL";"China"
"   TCOLI ";"Placa base, ASUS";"99,29 €";"Taiwán"
"   XB4AE  ";"Procesador, Intel";"68,74 £";"Corea del Sur"
" 8X2ZY   ";"Memoria RAM, Kingston";"963,66 £";"Taiwán"
" 3JGKH ";"Memoria RAM, Kingston";"o772,72 £";"Tailandia"
"  DX4AB ";"Tarjeta gráfica, NVIDIA";"250,51 £";"Tailandia"
"   E1U6K  ";"Tarjeta gráfica, NVIDIA";"201,25 €";"Taiwán"
" L3NU0   ";"Procesador, Intel";"O307,20 €";"Tailandia"
"  JADIS  ";"Placa base, ASUS";"988,61 €";"China"
"  ZBAV4 ";"Disco duro, Seagate";"y738,56 TL";"Tailandia"
"  KD40J ";"Disco duro, Seagate";"B339,97 €";"Corea del Sur"
"  SNS9K  ";"Disco duro, Seagate";"553,19 TL";"Taiwán"
" ZVCW2 ";"Memoria RAM, Kingston";"810,37 TL";"Tailandia"
"   JAIAF  ";"Placa base, ASUS";"A870,61 TL";"Estados Unidos"
" WOER1 ";"Tarjeta gráfica, NVIDIA";"493,26 €";"Tailandia"
"  73VLA  ";"Disco duro, Seagate";"17,30 €";"Corea del Sur"
"   5QYK3   ";"Memoria RAM, Kingston";"148,93 £";"China"
"   MHG0D   ";"Memoria RAM, Kingston";"300,96 €";"Estados Unidos"
" TIJBC   ";"Placa base, ASUS";"251,52 TL";"China"
" 72R2T ";"Procesador, Intel";"446,92 £";"Tailandia"
" WDE8A   ";"Procesador, Intel";"173,70 TL";"China"
"   W21GB ";"Disco duro, Seagate";"284,23 €";"China"
"  O4LHO   ";"Procesador, Intel";"733,83 £";"Tailandia"
" IWVVG ";"Disco duro, Seagate";"I786,49 £";"Taiwán"
" 73IQJ  ";"Memoria RAM, Kingston";"622,74 £";"Tailandia"
" PX2HU  ";"Memoria RAM, Kingston";"374,27 £";"China"
"   LW468 ";"Placa base, ASUS";"706,52 TL";"Taiwán"
" XNFHY ";"Memoria RAM, Kingston";"831,59 £";"China"
"   KL7MA ";"Placa base, ASUS";"343,27 £";"Estados Unidos"
" MTULV   ";"Procesador, Intel";"507,32 £";"China"
" 6JLWR   ";"Placa base, ASUS";"246,28 €";"Taiwán"
"  9TLSA  ";"Memoria RAM, Kingston";"94,82 €";"China"
" S4TLF ";"Memoria RAM, Kingston";"915,87 TL";"Estados Unidos"
"   OH3CV ";"Tarjeta gráfica, NVIDIA";"876,58 TL";"Tailandia"
" D6QDX ";"Procesador, Intel";"258,52 €";"Estados Unidos"
" 9DA4K ";"Procesador, Intel";"918,39 TL";"Estados Unidos"
"  SL5FA  ";"Memoria RAM, Kingston";"270,56 €";"China"
"  15G2P ";"Procesador, Intel";"605,95 TL";"Corea del Sur"
" LQDCJ ";"Memoria RAM, Kingston";"324,85 €";"Estados Unidos"
" JLYJL  ";"Tarjeta gráfica, NVIDIA";"65,89 TL";"Taiwán"
"   1IRD8 ";"Placa base, ASUS";"X739,79 TL";"Estados Unidos"
"  YRH4M   ";"Tarjeta gráfica, NVIDIA";"657,12 €";"Corea del Sur"
"   E3SR0  ";"Memoria RAM, Kingston";"415,74 €";"China"
"   B3DM4  ";"Placa base, ASUS";"146,26 £";"Corea del Sur"
"   IOIB8   ";"Disco duro, Seagate";"302,64 £";"Corea del Sur"
"  QPTTY ";"Placa base, ASUS";"249,99 TL";"Estados Unidos"
"   0EA0L ";"Tarjeta gráfica, NVIDIA";"735,17 £";"Tailandia"
"  8P8DD  ";"Placa base, ASUS";"948,44 TL";"Corea del Sur"
"  B8KID ";"Disco duro, Seagate";"236,98 TL";"Taiwán"
"   KSHD5 ";"Procesador, Intel";"911,91 TL";"China"
"  RPDT4 ";"Memoria RAM, Kingston";"671,10 £";"Tailandia"
"  K7OK5 ";"Disco duro, Seagate";"689,83 TL";"Corea del Sur"
" CLNOQ   ";"Memoria RAM, Kingston";"567,41 €";"China"
"  9ND7Z   ";"Procesador, Intel";"731,77 £";"Estados Unidos"
" QEPBJ   ";"Procesador, Intel";"705,21 €";"Taiwán"
"  5MR7L ";"Memoria RAM, Kingston";"797,95 TL";"China"
"  123J3 ";"Memoria RAM, Kingston";"883,38 €";"Tailandia"
" N30IO ";"Memoria RAM, Kingston";"694,97 TL";"Corea del Sur"
"  HO6WH  ";"Placa base, ASUS";"208,16 £";"Tailandia"
"   ZBPH6  ";"Placa base, ASUS";"230,38 TL";"Corea del Sur"
"   I2NR3 ";"Memoria RAM, Kingston";"440,25 €";"Corea del Sur"
"  5XTBO  ";"Memoria RAM, Kingston";"557,58 £";"China"
"  JJ6LG   ";"Placa base, ASUS";"333,88 €";"Tailandia"
" 27G4B  ";"Procesador, Intel";"470,75 £";"Taiwán"
"   QS9H4  ";"Placa base, ASUS";"896,53 TL";"Corea del Sur"
"   94LJY  ";"Memoria RAM, Kingston";"693,73 £";"Taiwán"
" K7H9Q  ";"Memoria RAM, Kingston";"158,15 €";"Tailandia"
" H9B86   ";"Tarjeta gráfica, NVIDIA";"245,90 £";"Taiwán"
"   ZKUVN  ";"Memoria RAM, Kingston";"698,27 £";"Tailandia"
"   L51TR  ";"Procesador, Intel";"143,58 €";"Estados Unidos"
" 2VWM7  ";"Procesador, Intel";"189,98 TL";"Corea del Sur"
"   Y8F0A ";"Memoria RAM, Kingston";"60,51 £";"Taiwán"
"   NDG3H   ";"Placa base, ASUS";"789,51 TL";"Tailandia"
"   VAAO1   ";"Tarjeta gráfica, NVIDIA";"543,59 €";"Tailandia"
"  WY8EN  ";"Memoria RAM, Kingston";"327,26 €";"Corea del Sur"
"   ANXSX  ";"Procesador, Intel";"425,37 £";"China"
"   67UOR  ";"Tarjeta gráfica, NVIDIA";"766,62 €";"China"
"  126ZG  ";"Tarjeta gráfica, NVIDIA";"507,80 £";"Corea del Sur"
"   PCDF1  ";"Memoria RAM, Kingston";"962,72 TL";"China"
"  GK48Q   ";"Placa base, ASUS";"719,87 TL";"Taiwán"
" DWTOC  ";"Memoria RAM, Kingston";"47,58 TL";"Estados Unidos"
"  HC8KD  ";"Placa base, ASUS";"801,54 £";"Taiwán"
"   YM87L ";"Placa base, ASUS";"D442,95 €";"Taiwán"
"   GGRWG ";"Tarjeta gráfica, NVIDIA";"415,31 TL";"China"
"  ALIMJ  ";"Placa base, ASUS";"981,71 TL";"China"
"   SPOSM ";"Procesador, Intel";"359,83 £";"Tailandia"
"  25PSB  ";"Procesador, Intel";"82,67 TL";"Estados Unidos"
"   V41RY   ";"Tarjeta gráfica, NVIDIA";"266,41 TL";"Tailandia"
"  4LLEL   ";"Procesador, Intel";"B447,37 £";"Estados Unidos"
"  YF6QH   ";"Procesador, Intel";"756,45 TL";"Estados Unidos"
" 7JPDW   ";"Tarjeta gráfica, NVIDIA";"57,12 €";"Corea del Sur"
"   VUJT7   ";"Disco duro, Seagate";"C47,69 €";"Tailandia"
" 7NNV7   ";"Disco duro, Seagate";"704,29 €";"Taiwán"
" F1L32  ";"Placa base, ASUS";"230,53 TL";"Estados Unidos"
" LWEJO ";"Tarjeta gráfica, NVIDIA";"388,93 £";"Estados Unidos"
" 8W87K ";"Disco duro, Seagate";"511,63 TL";"Tailandia"
"  AZVSS ";"Procesador, Intel";"192,44 £";"Corea del Sur"
" HH1HC  ";"Disco duro, Seagate";"266,89 €";"Tailandia"
"   ZJZSJ   ";"Disco duro, Seagate";"283,19 TL";"Taiwán"
"  VZN96   ";"Disco duro, Seagate";"m84,31 TL";"Tailandia"
" THGCG  ";"Memoria RAM, Kingston";"105,21 £";"Corea del Sur"
"   SI3F1  ";"Disco duro, Seagate";"922,23 £";"China"
"  1IXHE ";"Placa base, ASUS";"292,46 TL";"Taiwán"
"  76EJ6   ";"Tarjeta gráfica, NVIDIA";"471,86 €";"Estados Unidos"
"  BKBP4 ";"Memoria RAM, Kingston";"816,49 TL";"China"
"   E3USQ  ";"Tarjeta gráfica, NVIDIA";"612,29 TL";"Corea del Sur"
"  U657J  ";"Memoria RAM, Kingston";"851,59 €";"Estados Unidos"
"   UY8NS ";"Disco duro, Seagate";"527,91 €";"Corea del Sur"
"  9J4LV  ";"Memoria RAM, Kingston";"470,88 £";"Estados Unidos"
" WV3MT   ";"Procesador, Intel";"950,33 €";"Corea del Sur"
"   KTRPO  ";"Memoria RAM, Kingston";"295,21 TL";"Estados Unidos"
"   YMSAM ";"Memoria RAM, Kingston";"799,29 TL";"Taiwán"
"   5AP2F ";"Memoria RAM, Kingston";"678,30 £";"Tailandia"
"   5EHAD   ";"Disco duro, Seagate";"306,20 TL";"Taiwán"
"  RK0TO  ";"Tarjeta gráfica, NVIDIA";"24,21 £";"Tailandia"
"  GEDO8 ";"Memoria RAM, Kingston";"32,82 £";"Taiwán"
"   X8UIQ  ";"Memoria RAM, Kingston";"nFZ920,89 £";"Estados Unidos"
"  AYKMD  ";"Procesador, Intel";"790,85 €";"Estados Unidos"
" VRJD9 ";"Placa base, ASUS";"369,61 €";"Tailandia"
"   DCAHQ  ";"Placa base, ASUS";"428,11 €";"Estados Unidos"
"   LFECT ";"Placa base, ASUS";"846,42 TL";"Taiwán"
" YBJM3   ";"Placa base, ASUS";"727,23 TL";"Estados Unidos"
" NB7F9   ";"Procesador, Intel";"912,42 TL";"Estados Unidos"
" AEJ2C  ";"Tarjeta gráfica, NVIDIA";"19,19 TL";"China"
" LY1M8  ";"Disco duro, Seagate";"405,22 TL";"Tailandia"
"   RTS79 ";"Tarjeta gráfica, NVIDIA";"380,27 €";"Estados Unidos"
"   1B3DC ";"Placa base, ASUS";"r175,24 TL";"Corea del Sur"
"   NSVBL  ";"Placa base, ASUS";"129,88 £";"Corea del Sur"
"  0CRWU   ";"Tarjeta gráfica, NVIDIA";"331,78 TL";"Estados Unidos"
"   ZQAY8 ";"Placa base, ASUS";"699,99 €";"Taiwán"
"  3J446  ";"Memoria RAM, Kingston";"816,80 £";"Tailandia"
" BI951 ";"Procesador, Intel";"577,38 TL";"Estados Unidos"
" A9LYF  ";"Placa base, ASUS";"771,91 TL";"Corea del Sur"
" C875I   ";"Tarjeta gráfica, NVIDIA";"459,57 £";"China"
" FZMUW  ";"Tarjeta gráfica, NVIDIA";"322,84 TL";"Tailandia"
"  IQO89   ";"Disco duro, Seagate";"341,83 £";"China"
"  X8A8H   ";"Memoria RAM, Kingston";"305,58 £";"Estados Unidos"
" XOKWP ";"Memoria RAM, Kingston";"702,81 £";"Estados Unidos"
" 1JLD3 ";"Placa base, ASUS";"268,76 £";"Tailandia"
"   STA3H ";"Placa base, ASUS";"521,31 €";"Tailandia"
"   97XUY   ";"Procesador, Intel";"494,25 TL";"China"
"   32QRL ";"Procesador, Intel";"690,19 €";"Taiwán"
"  OH3XU ";"Procesador, Intel";"706,42 £";"China"
"   T8C6S   ";"Procesador, Intel";"811,10 €";"Taiwán"
"   0X8MG  ";"Tarjeta gráfica, NVIDIA";"387,67 £";"Taiwán"
"   TZ75J ";"Disco duro, Seagate";"275,77 €";"Tailandia"
" NJNYT   ";"Procesador, Intel";"X507,20 TL";"Tailandia"
"  ADB1R   ";"Procesador, Intel";"484,40 £";"China"
" U8WVE   ";"Placa base, ASUS";"264,11 TL";"Tailandia"
"   S3EIX ";"Procesador, Intel";"i17,88 £";"China"
"  HZEP4  ";"Placa base, ASUS";"370,15 €";"Corea del Sur"
"  XZY7B  ";"Procesador, Intel";"Qx272,36 TL";"Corea del Sur"
" 4KGOQ  ";"Procesador, Intel";"390,84 €";"Taiwán"
"  C86CJ ";"Procesador, Intel";"755,53 €";"Taiwán"
" UW0B2 ";"Disco duro, Seagate";"227,46 TL";"China"
"  QE8IA  ";"Tarjeta gráfica, NVIDIA";"416,72 TL";"Estados Unidos"
"  0QZ8M   ";"Placa base, ASUS";"46,73 £";"China"
" GLTT5   ";"Tarjeta gráfica, NVIDIA";"357,91 €";"Taiwán"
"  DG8RK  ";"Memoria RAM, Kingston";"600,66 €";"Taiwán"
" PPXFA ";"Tarjeta gráfica, NVIDIA";"81,14 €";"China"
"  27YPS  ";"Tarjeta gráfica, NVIDIA";"409,14 €";"Taiwán"
"   S8OBD   ";"Procesador, Intel";"413,82 £";"Estados Unidos"
"  OMU0O  ";"Disco duro, Seagate";"366,65 TL";"Tailandia"
" ONYEO   ";"Disco duro, Seagate";"j495,89 €";"Estados Unidos"
"   3CJB8 ";"Placa base, ASUS";"592,66 TL";"Taiwán"
"  UQTI4   ";"Memoria RAM, Kingston";"811,72 £";"Estados Unidos"
" 15I14  ";"Tarjeta gráfica, NVIDIA";"897,23 €";"Taiwán"
"  0XT14   ";"Memoria RAM, Kingston";"371,73 TL";"Taiwán"
" 6015U  ";"Disco duro, Seagate";"162,18 £";"Taiwán"
" H7LZ2 ";"Tarjeta gráfica, NVIDIA";"y833,71 €";"Estados Unidos"
"  JD0WO   ";"Procesador, Intel";"162,57 £";"Corea del Sur"
"  MLK2P ";"Disco duro, Seagate";"55,34 TL";"China"
" I54CV  ";"Disco duro, Seagate";"942,35 €";"Estados Unidos"
"  I5FEP   ";"Memoria RAM, Kingston";"838,92 €";"Estados Unidos"
" OTXO6  ";"Disco duro, Seagate";"532,54 £";"Corea del Sur"
"   JKGSG ";"Procesador, Intel";"735,43 £";"Tailandia"
"   AB5NH   ";"Memoria RAM, Kingston";"350,89 TL";"China"
"   H8I5T   ";"Tarjeta gráfica, NVIDIA";"944,27 €";"Tailandia"
"   KWTIX  ";"Disco duro, Seagate";"646,96 £";"Tailandia"
"   74T3C ";"Placa base, ASUS";"264,23 £";"China"
" JVLNX  ";"Placa base, ASUS";"739,36 €";"Tailandia"
"   DZZWS  ";"Procesador, Intel";"337,20 €";"Taiwán"
"  NPTNH ";"Placa base, ASUS";"421,45 £";"Taiwán"
"   N47HC   ";"Tarjeta gráfica, NVIDIA";"419,91 TL";"Estados Unidos"
" 1WDK5  ";"Disco duro, Seagate";"534,30 €";"Estados Unidos"
"  TVNWZ  ";"Placa base, ASUS";"374,37 £";"Tailandia"
"  1C3Q0 ";"Memoria RAM, Kingston";"524,33 £";"China"
"  WRSEL ";"Memoria RAM, Kingston";"302,76 £";"China"
"   PUSMY ";"Memoria RAM, Kingston";"958,33 £";"China"
"  MPERA   ";"Disco duro, Seagate";"521,41 TL";"China"
"   PHNQK  ";"Placa base, ASUS";"920,39 €";"China"
"  FDTIF  ";"Memoria RAM, Kingston";"658,82 €";"China"
"   I4W58 ";"Placa base, ASUS";"39,84 £";"Taiwán"
" A6L8U   ";"Placa base, ASUS";"441,25 TL";"Corea del Sur"
"   BANRQ   ";"Disco duro, Seagate";"655,35 €";"China"
"  HCGLD ";"Disco duro, Seagate";"Y704,17 £";"China"
" 3573B ";"Disco duro, Seagate";"Z151,78 €";"Corea del Sur"
"   CNE3D  ";"Disco duro, Seagate";"851,54 £";"Corea del Sur"
" NSQVH   ";"Tarjeta gráfica, NVIDIA";"109,65 €";"China"
"  2U173  ";"Disco duro, Seagate";"337,48 €";"Estados Unidos"
" DOH0R ";"Tarjeta gráfica, NVIDIA";"690,12 €";"Taiwán"
"  V0T9F  ";"Disco duro, Seagate";"X321,55 £";"Corea del Sur"
" 27OR1   ";"Procesador, Intel";"800,12 €";"China"
"   CP70V ";"Memoria RAM, Kingston";"282,80 €";"Taiwán"
" GPYXE   ";"Disco duro, Seagate";"442,92 €";"China"
"  9EIUX  ";"Disco duro, Seagate";"272,84 TL";"Corea del Sur"
" M4FUP  ";"Procesador, Intel";"197,67 £";"Tailandia"
"  PU38J ";"Disco duro, Seagate";"514,12 €";"Corea del Sur"
"  AK55A  ";"Procesador, Intel";"617,50 £";"Taiwán"
"   ZHN3R ";"Procesador, Intel";"857,73 £";"China"
"  N3AII   ";"Placa base, ASUS";"910,21 €";"China"
" JGF09 ";"Memoria RAM, Kingston";"965,60 £";"Tailandia"
